CODE	ALT_CODE	USAGE	USAGE_UK	DESCRIPTION	MODIFIER_4	MODIFIER_5	QUALIFIERS	GENDER_MASK	MIN_AGE	MAX_AGE	TREE_DESCRIPTION
M10.48	M1048	DEFAULT	3	Other secondary gout		Other					
M10.49	M1049	DEFAULT	3	Other secondary gout		Site unspecified					
M10.9	M109	DEFAULT	3	Gout, unspecified							
M10.90	M1090	DEFAULT	3	Gout, unspecified		Multiple sites					
M10.91	M1091	DEFAULT	3	Gout, unspecified		Shoulder region					
M10.92	M1092	DEFAULT	3	Gout, unspecified		Upper arm					
M10.93	M1093	DEFAULT	3	Gout, unspecified		Forearm					
M10.94	M1094	DEFAULT	3	Gout, unspecified		Hand					
M10.95	M1095	DEFAULT	3	Gout, unspecified		Pelvic region and thigh					
M10.96	M1096	DEFAULT	3	Gout, unspecified		Lower leg					
M10.97	M1097	DEFAULT	3	Gout, unspecified		Ankle and foot					
M10.98	M1098	DEFAULT	3	Gout, unspecified		Other					
M10.99	M1099	DEFAULT	3	Gout, unspecified		Site unspecified					
M11	M11	DEFAULT	3	Other crystal arthropathies							
M11.0	M110	DEFAULT	3	Hydroxyapatite deposition disease							
M11.00	M1100	DEFAULT	3	Hydroxyapatite deposition disease		Multiple sites					
M11.01	M1101	DEFAULT	3	Hydroxyapatite deposition disease		Shoulder region					
M11.02	M1102	DEFAULT	3	Hydroxyapatite deposition disease		Upper arm					
M11.03	M1103	DEFAULT	3	Hydroxyapatite deposition disease		Forearm					
M11.04	M1104	DEFAULT	3	Hydroxyapatite deposition disease		Hand					
M11.05	M1105	DEFAULT	3	Hydroxyapatite deposition disease		Pelvic region and thigh					
M11.06	M1106	DEFAULT	3	Hydroxyapatite deposition disease		Lower leg					
M11.07	M1107	DEFAULT	3	Hydroxyapatite deposition disease		Ankle and foot					
M11.08	M1108	DEFAULT	3	Hydroxyapatite deposition disease		Other					
M11.09	M1109	DEFAULT	3	Hydroxyapatite deposition disease		Site unspecified					
M11.1	M111	DEFAULT	3	Familial chondrocalcinosis							
M11.10	M1110	DEFAULT	3	Familial chondrocalcinosis		Multiple sites					
M11.11	M1111	DEFAULT	3	Familial chondrocalcinosis		Shoulder region					
M11.12	M1112	DEFAULT	3	Familial chondrocalcinosis		Upper arm					
M11.13	M1113	DEFAULT	3	Familial chondrocalcinosis		Forearm					
M11.14	M1114	DEFAULT	3	Familial chondrocalcinosis		Hand					
M11.15	M1115	DEFAULT	3	Familial chondrocalcinosis		Pelvic region and thigh					
M11.16	M1116	DEFAULT	3	Familial chondrocalcinosis		Lower leg					
M11.17	M1117	DEFAULT	3	Familial chondrocalcinosis		Ankle and foot					
M11.18	M1118	DEFAULT	3	Familial chondrocalcinosis		Other					
M11.19	M1119	DEFAULT	3	Familial chondrocalcinosis		Site unspecified					
M11.2	M112	DEFAULT	3	Other chondrocalcinosis							
M11.20	M1120	DEFAULT	3	Other chondrocalcinosis		Multiple sites					
M11.21	M1121	DEFAULT	3	Other chondrocalcinosis		Shoulder region					
M11.22	M1122	DEFAULT	3	Other chondrocalcinosis		Upper arm					
M11.23	M1123	DEFAULT	3	Other chondrocalcinosis		Forearm					
M11.24	M1124	DEFAULT	3	Other chondrocalcinosis		Hand					
M11.25	M1125	DEFAULT	3	Other chondrocalcinosis		Pelvic region and thigh					
M11.26	M1126	DEFAULT	3	Other chondrocalcinosis		Lower leg					
M11.27	M1127	DEFAULT	3	Other chondrocalcinosis		Ankle and foot					
M11.28	M1128	DEFAULT	3	Other chondrocalcinosis		Other					
M11.29	M1129	DEFAULT	3	Other chondrocalcinosis		Site unspecified					
M11.8	M118	DEFAULT	3	Other specified crystal arthropathies							
M11.80	M1180	DEFAULT	3	Other specified crystal arthropathies		Multiple sites					
M11.81	M1181	DEFAULT	3	Other specified crystal arthropathies		Shoulder region					
M11.82	M1182	DEFAULT	3	Other specified crystal arthropathies		Upper arm					
M11.83	M1183	DEFAULT	3	Other specified crystal arthropathies		Forearm					
M11.84	M1184	DEFAULT	3	Other specified crystal arthropathies		Hand					
M11.85	M1185	DEFAULT	3	Other specified crystal arthropathies		Pelvic region and thigh					
M11.86	M1186	DEFAULT	3	Other specified crystal arthropathies		Lower leg					
M11.87	M1187	DEFAULT	3	Other specified crystal arthropathies		Ankle and foot					
M11.88	M1188	DEFAULT	3	Other specified crystal arthropathies		Other					
M11.89	M1189	DEFAULT	3	Other specified crystal arthropathies		Site unspecified					
M11.9	M119	DEFAULT	3	Crystal arthropathy, unspecified							
M11.90	M1190	DEFAULT	3	Crystal arthropathy, unspecified		Multiple sites					
M11.91	M1191	DEFAULT	3	Crystal arthropathy, unspecified		Shoulder region					
M11.92	M1192	DEFAULT	3	Crystal arthropathy, unspecified		Upper arm					
M11.93	M1193	DEFAULT	3	Crystal arthropathy, unspecified		Forearm					
M11.94	M1194	DEFAULT	3	Crystal arthropathy, unspecified		Hand					
M11.95	M1195	DEFAULT	3	Crystal arthropathy, unspecified		Pelvic region and thigh					
M11.96	M1196	DEFAULT	3	Crystal arthropathy, unspecified		Lower leg					
M11.97	M1197	DEFAULT	3	Crystal arthropathy, unspecified		Ankle and foot					
M11.98	M1198	DEFAULT	3	Crystal arthropathy, unspecified		Other					
M11.99	M1199	DEFAULT	3	Crystal arthropathy, unspecified		Site unspecified					
M12	M12	DEFAULT	3	Other specific arthropathies							
M12.0	M120	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]							
M12.00	M1200	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Multiple sites					
M12.01	M1201	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Shoulder region					
M12.02	M1202	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Upper arm					
M12.03	M1203	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Forearm					
M12.04	M1204	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Hand					
M12.05	M1205	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Pelvic region and thigh					
M12.06	M1206	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Lower leg					
M12.07	M1207	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Ankle and foot					
M12.08	M1208	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Other					
M12.09	M1209	DEFAULT	3	Chronic postrheumatic arthropathy [Jaccoud]		Site unspecified					
M12.1	M121	DEFAULT	3	Kaschin-Beck disease							
M12.10	M1210	DEFAULT	3	Kaschin-Beck disease		Multiple sites					
M12.11	M1211	DEFAULT	3	Kaschin-Beck disease		Shoulder region					
M12.12	M1212	DEFAULT	3	Kaschin-Beck disease		Upper arm					
M12.13	M1213	DEFAULT	3	Kaschin-Beck disease		Forearm					
M12.14	M1214	DEFAULT	3	Kaschin-Beck disease		Hand					
M12.15	M1215	DEFAULT	3	Kaschin-Beck disease		Pelvic region and thigh					
M12.16	M1216	DEFAULT	3	Kaschin-Beck disease		Lower leg					
M12.17	M1217	DEFAULT	3	Kaschin-Beck disease		Ankle and foot					
M12.18	M1218	DEFAULT	3	Kaschin-Beck disease		Other					
M12.19	M1219	DEFAULT	3	Kaschin-Beck disease		Site unspecified					
M12.2	M122	DEFAULT	3	Villonodular synovitis (pigmented)							
M12.20	M1220	DEFAULT	3	Villonodular synovitis (pigmented)		Multiple sites					
M12.21	M1221	DEFAULT	3	Villonodular synovitis (pigmented)		Shoulder region					
M12.22	M1222	DEFAULT	3	Villonodular synovitis (pigmented)		Upper arm					
M12.23	M1223	DEFAULT	3	Villonodular synovitis (pigmented)		Forearm					
M12.24	M1224	DEFAULT	3	Villonodular synovitis (pigmented)		Hand					
M12.25	M1225	DEFAULT	3	Villonodular synovitis (pigmented)		Pelvic region and thigh					
M12.26	M1226	DEFAULT	3	Villonodular synovitis (pigmented)		Lower leg					
M12.27	M1227	DEFAULT	3	Villonodular synovitis (pigmented)		Ankle and foot					
M12.28	M1228	DEFAULT	3	Villonodular synovitis (pigmented)		Other					
M12.29	M1229	DEFAULT	3	Villonodular synovitis (pigmented)		Site unspecified					
M12.3	M123	DEFAULT	3	Palindromic rheumatism							
M12.30	M1230	DEFAULT	3	Palindromic rheumatism		Multiple sites					
M12.31	M1231	DEFAULT	3	Palindromic rheumatism		Shoulder region					
M12.32	M1232	DEFAULT	3	Palindromic rheumatism		Upper arm					
M12.33	M1233	DEFAULT	3	Palindromic rheumatism		Forearm					
M12.34	M1234	DEFAULT	3	Palindromic rheumatism		Hand					
M12.35	M1235	DEFAULT	3	Palindromic rheumatism		Pelvic region and thigh					
M12.36	M1236	DEFAULT	3	Palindromic rheumatism		Lower leg					
M12.37	M1237	DEFAULT	3	Palindromic rheumatism		Ankle and foot					
M12.38	M1238	DEFAULT	3	Palindromic rheumatism		Other					
M12.39	M1239	DEFAULT	3	Palindromic rheumatism		Site unspecified					
M12.4	M124	DEFAULT	3	Intermittent hydrarthrosis							
M12.40	M1240	DEFAULT	3	Intermittent hydrarthrosis		Multiple sites					
M12.41	M1241	DEFAULT	3	Intermittent hydrarthrosis		Shoulder region					
M12.42	M1242	DEFAULT	3	Intermittent hydrarthrosis		Upper arm					
M12.43	M1243	DEFAULT	3	Intermittent hydrarthrosis		Forearm					
M12.44	M1244	DEFAULT	3	Intermittent hydrarthrosis		Hand					
M12.45	M1245	DEFAULT	3	Intermittent hydrarthrosis		Pelvic region and thigh					
M12.46	M1246	DEFAULT	3	Intermittent hydrarthrosis		Lower leg					
M12.47	M1247	DEFAULT	3	Intermittent hydrarthrosis		Ankle and foot					
M12.48	M1248	DEFAULT	3	Intermittent hydrarthrosis		Other					
M12.49	M1249	DEFAULT	3	Intermittent hydrarthrosis		Site unspecified					
M12.5	M125	DEFAULT	3	Traumatic arthropathy							
M12.50	M1250	DEFAULT	3	Traumatic arthropathy		Multiple sites					
M12.51	M1251	DEFAULT	3	Traumatic arthropathy		Shoulder region					
M12.52	M1252	DEFAULT	3	Traumatic arthropathy		Upper arm					
M12.53	M1253	DEFAULT	3	Traumatic arthropathy		Forearm					
M12.54	M1254	DEFAULT	3	Traumatic arthropathy		Hand					
M12.55	M1255	DEFAULT	3	Traumatic arthropathy		Pelvic region and thigh					
M12.56	M1256	DEFAULT	3	Traumatic arthropathy		Lower leg					
M12.57	M1257	DEFAULT	3	Traumatic arthropathy		Ankle and foot					
M12.58	M1258	DEFAULT	3	Traumatic arthropathy		Other					
M12.59	M1259	DEFAULT	3	Traumatic arthropathy		Site unspecified					
M12.8	M128	DEFAULT	3	Other specific arthropathies, not elsewhere classified							
M12.80	M1280	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Multiple sites					
M12.81	M1281	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Shoulder region					
M12.82	M1282	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Upper arm					
M12.83	M1283	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Forearm					
M12.84	M1284	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Hand					
M12.85	M1285	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Pelvic region and thigh					
M12.86	M1286	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Lower leg					
M12.87	M1287	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Ankle and foot					
M12.88	M1288	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Other					
M12.89	M1289	DEFAULT	3	Other specific arthropathies, not elsewhere classified		Site unspecified					
M13	M13	DEFAULT	3	Other arthritis							
M13.0	M130	DEFAULT	3	Polyarthritis, unspecified							
M13.00	M1300	DEFAULT	3	Polyarthritis, unspecified		Multiple sites					
M13.01	M1301	DEFAULT	3	Polyarthritis, unspecified		Shoulder region					
M13.02	M1302	DEFAULT	3	Polyarthritis, unspecified		Upper arm					
M13.03	M1303	DEFAULT	3	Polyarthritis, unspecified		Forearm					
M13.04	M1304	DEFAULT	3	Polyarthritis, unspecified		Hand					
M13.05	M1305	DEFAULT	3	Polyarthritis, unspecified		Pelvic region and thigh					
M13.06	M1306	DEFAULT	3	Polyarthritis, unspecified		Lower leg					
M13.07	M1307	DEFAULT	3	Polyarthritis, unspecified		Ankle and foot					
M13.08	M1308	DEFAULT	3	Polyarthritis, unspecified		Other					
M13.09	M1309	DEFAULT	3	Polyarthritis, unspecified		Site unspecified					
M13.1	M131	DEFAULT	3	Monoarthritis, not elsewhere classified							
M13.10	M1310	DEFAULT	3	Monoarthritis, not elsewhere classified		Multiple sites					
M13.11	M1311	DEFAULT	3	Monoarthritis, not elsewhere classified		Shoulder region					
M13.12	M1312	DEFAULT	3	Monoarthritis, not elsewhere classified		Upper arm					
M13.13	M1313	DEFAULT	3	Monoarthritis, not elsewhere classified		Forearm					
M13.14	M1314	DEFAULT	3	Monoarthritis, not elsewhere classified		Hand					
M13.15	M1315	DEFAULT	3	Monoarthritis, not elsewhere classified		Pelvic region and thigh					
M13.16	M1316	DEFAULT	3	Monoarthritis, not elsewhere classified		Lower leg					
M13.17	M1317	DEFAULT	3	Monoarthritis, not elsewhere classified		Ankle and foot					
M13.18	M1318	DEFAULT	3	Monoarthritis, not elsewhere classified		Other					
M13.19	M1319	DEFAULT	3	Monoarthritis, not elsewhere classified		Site unspecified					
M13.8	M138	DEFAULT	3	Other specified arthritis							
M13.80	M1380	DEFAULT	3	Other specified arthritis		Multiple sites					
M13.81	M1381	DEFAULT	3	Other specified arthritis		Shoulder region					
M13.82	M1382	DEFAULT	3	Other specified arthritis		Upper arm					
M13.83	M1383	DEFAULT	3	Other specified arthritis		Forearm					
M13.84	M1384	DEFAULT	3	Other specified arthritis		Hand					
M13.85	M1385	DEFAULT	3	Other specified arthritis		Pelvic region and thigh					
M13.86	M1386	DEFAULT	3	Other specified arthritis		Lower leg					
M13.87	M1387	DEFAULT	3	Other specified arthritis		Ankle and foot					
M13.88	M1388	DEFAULT	3	Other specified arthritis		Other					
M13.89	M1389	DEFAULT	3	Other specified arthritis		Site unspecified					
M13.9	M139	DEFAULT	3	Arthritis, unspecified							
M13.90	M1390	DEFAULT	3	Arthritis, unspecified		Multiple sites					
M13.91	M1391	DEFAULT	3	Arthritis, unspecified		Shoulder region					
M13.92	M1392	DEFAULT	3	Arthritis, unspecified		Upper arm					
M13.93	M1393	DEFAULT	3	Arthritis, unspecified		Forearm					
M13.94	M1394	DEFAULT	3	Arthritis, unspecified		Hand					
M13.95	M1395	DEFAULT	3	Arthritis, unspecified		Pelvic region and thigh					
M13.96	M1396	DEFAULT	3	Arthritis, unspecified		Lower leg					
M13.97	M1397	DEFAULT	3	Arthritis, unspecified		Ankle and foot					
M13.98	M1398	DEFAULT	3	Arthritis, unspecified		Other					
M13.99	M1399	DEFAULT	3	Arthritis, unspecified		Site unspecified					
M14	M14	ASTERISK	2	Arthropathies in other diseases classified elsewhere							
M14.0	M140	ASTERISK	2	Gouty arthropathy due to enzyme defects and other inherited disorders							
M14.1	M141	ASTERISK	2	Crystal arthropathy in other metabolic disorders							
M14.2	M142	ASTERISK	2	Diabetic arthropathy							
M14.3	M143	ASTERISK	2	Lipoid dermatoarthritis							
M14.4	M144	ASTERISK	2	Arthropathy in amyloidosis							
M14.5	M145	ASTERISK	2	Arthropathies in other endocrine, nutritional and metabolic disorders							
M14.6	M146	ASTERISK	2	Neuropathic arthropathy							
M14.8	M148	ASTERISK	2	Arthropathies in other specified diseases classified elsewhere							
M15	M15	DEFAULT	3	Polyarthrosis							
M15.0	M150	DEFAULT	3	Primary generalized (osteo)arthrosis							
M15.1	M151	DEFAULT	3	Heberden's nodes (with arthropathy)							
M15.2	M152	DEFAULT	3	Bouchard's nodes (with arthropathy)							
M15.3	M153	DEFAULT	3	Secondary multiple arthrosis							
M15.4	M154	DEFAULT	3	Erosive (osteo)arthrosis							
M15.8	M158	DEFAULT	3	Other polyarthrosis							
M15.9	M159	DEFAULT	3	Polyarthrosis, unspecified							
M16	M16	DEFAULT	3	Coxarthrosis [arthrosis of hip]							
M16.0	M160	DEFAULT	3	Primary coxarthrosis, bilateral							
M16.1	M161	DEFAULT	3	Other primary coxarthrosis							
M16.2	M162	DEFAULT	3	Coxarthrosis resulting from dysplasia, bilateral							
M16.3	M163	DEFAULT	3	Other dysplastic coxarthrosis							
M16.4	M164	DEFAULT	3	Post-traumatic coxarthrosis, bilateral							
M16.5	M165	DEFAULT	3	Other post-traumatic coxarthrosis							
M16.6	M166	DEFAULT	3	Other secondary coxarthrosis, bilateral							
M16.7	M167	DEFAULT	3	Other secondary coxarthrosis							
M16.9	M169	DEFAULT	3	Coxarthrosis, unspecified							
M17	M17	DEFAULT	3	Gonarthrosis [arthrosis of knee]							
M17.0	M170	DEFAULT	3	Primary gonarthrosis, bilateral							
M17.1	M171	DEFAULT	3	Other primary gonarthrosis							
M17.2	M172	DEFAULT	3	Post-traumatic gonarthrosis, bilateral							
M17.3	M173	DEFAULT	3	Other post-traumatic gonarthrosis							
M17.4	M174	DEFAULT	3	Other secondary gonarthrosis, bilateral							
M17.5	M175	DEFAULT	3	Other secondary gonarthrosis							
M17.9	M179	DEFAULT	3	Gonarthrosis, unspecified							
M18	M18	DEFAULT	3	Arthrosis of first carpometacarpal joint							
M18.0	M180	DEFAULT	3	Primary arthrosis of first carpometacarpal joints, bilateral							
M18.1	M181	DEFAULT	3	Other primary arthrosis of first carpometacarpal joint							
M18.2	M182	DEFAULT	3	Post-traumatic arthrosis of first carpometacarpal joints, bilateral							
M18.3	M183	DEFAULT	3	Other post-traumatic arthrosis of first carpometacarpal joint							
M18.4	M184	DEFAULT	3	Other secondary arthrosis of first carpometacarpal joints, bilateral							
M18.5	M185	DEFAULT	3	Other secondary arthrosis of first carpometacarpal joint							
M18.9	M189	DEFAULT	3	Arthrosis of first carpometacarpal joint, unspecified							
M19	M19	DEFAULT	3	Other arthrosis							
M19.0	M190	DEFAULT	3	Primary arthrosis of other joints							
M19.00	M1900	DEFAULT	3	Primary arthrosis of other joints		Multiple sites					
M19.01	M1901	DEFAULT	3	Primary arthrosis of other joints		Shoulder region					
M19.02	M1902	DEFAULT	3	Primary arthrosis of other joints		Upper arm					
M19.03	M1903	DEFAULT	3	Primary arthrosis of other joints		Forearm					
M19.04	M1904	DEFAULT	3	Primary arthrosis of other joints		Hand					
M19.05	M1905	DEFAULT	3	Primary arthrosis of other joints		Pelvic region and thigh					
M19.07	M1907	DEFAULT	3	Primary arthrosis of other joints		Ankle and foot					
M19.08	M1908	DEFAULT	3	Primary arthrosis of other joints		Other					
M19.09	M1909	DEFAULT	3	Primary arthrosis of other joints		Site unspecified					
M19.1	M191	DEFAULT	3	Post-traumatic arthrosis of other joints							
M19.10	M1910	DEFAULT	3	Post-traumatic arthrosis of other joints		Multiple sites					
M19.11	M1911	DEFAULT	3	Post-traumatic arthrosis of other joints		Shoulder region					
M19.12	M1912	DEFAULT	3	Post-traumatic arthrosis of other joints		Upper arm					
M19.13	M1913	DEFAULT	3	Post-traumatic arthrosis of other joints		Forearm					
M19.14	M1914	DEFAULT	3	Post-traumatic arthrosis of other joints		Hand					
M19.15	M1915	DEFAULT	3	Post-traumatic arthrosis of other joints		Pelvic region and thigh					
M19.17	M1917	DEFAULT	3	Post-traumatic arthrosis of other joints		Ankle and foot					
M19.18	M1918	DEFAULT	3	Post-traumatic arthrosis of other joints		Other					
M19.19	M1919	DEFAULT	3	Post-traumatic arthrosis of other joints		Site unspecified					
M19.2	M192	DEFAULT	3	Other secondary arthrosis							
M19.20	M1920	DEFAULT	3	Other secondary arthrosis		Multiple sites					
M19.21	M1921	DEFAULT	3	Other secondary arthrosis		Shoulder region					
M19.22	M1922	DEFAULT	3	Other secondary arthrosis		Upper arm					
M19.23	M1923	DEFAULT	3	Other secondary arthrosis		Forearm					
M19.24	M1924	DEFAULT	3	Other secondary arthrosis		Hand					
M19.25	M1925	DEFAULT	3	Other secondary arthrosis		Pelvic region and thigh					
M19.27	M1927	DEFAULT	3	Other secondary arthrosis		Ankle and foot					
M19.28	M1928	DEFAULT	3	Other secondary arthrosis		Other					
M19.29	M1929	DEFAULT	3	Other secondary arthrosis		Site unspecified					
M19.8	M198	DEFAULT	3	Other specified arthrosis							
M19.80	M1980	DEFAULT	3	Other specified arthrosis		Multiple sites					
M19.81	M1981	DEFAULT	3	Other specified arthrosis		Shoulder region					
M19.82	M1982	DEFAULT	3	Other specified arthrosis		Upper arm					
M19.83	M1983	DEFAULT	3	Other specified arthrosis		Forearm					
M19.84	M1984	DEFAULT	3	Other specified arthrosis		Hand					
M19.85	M1985	DEFAULT	3	Other specified arthrosis		Pelvic region and thigh					
M19.86	M1986	DEFAULT	3	Other specified arthrosis		Lower leg					
M19.87	M1987	DEFAULT	3	Other specified arthrosis		Ankle and foot					
M19.88	M1988	DEFAULT	3	Other specified arthrosis		Other					
M19.89	M1989	DEFAULT	3	Other specified arthrosis		Site unspecified					
M19.9	M199	DEFAULT	3	Arthrosis, unspecified							
M19.90	M1990	DEFAULT	3	Arthrosis, unspecified		Multiple sites					
M19.91	M1991	DEFAULT	3	Arthrosis, unspecified		Shoulder region					
M19.92	M1992	DEFAULT	3	Arthrosis, unspecified		Upper arm					
M19.93	M1993	DEFAULT	3	Arthrosis, unspecified		Forearm					
M19.94	M1994	DEFAULT	3	Arthrosis, unspecified		Hand					
M19.95	M1995	DEFAULT	3	Arthrosis, unspecified		Pelvic region and thigh					
M19.97	M1997	DEFAULT	3	Arthrosis, unspecified		Ankle and foot					
M19.98	M1998	DEFAULT	3	Arthrosis, unspecified		Other					
M19.99	M1999	DEFAULT	3	Arthrosis, unspecified		Site unspecified					
M20	M20	DEFAULT	3	Acquired deformities of fingers and toes							
M20.0	M200	DEFAULT	3	Deformity of finger(s)							
M20.1	M201	DEFAULT	3	Hallux valgus (acquired)							
M20.2	M202	DEFAULT	3	Hallux rigidus							
M20.3	M203	DEFAULT	3	Other deformity of hallux (acquired)							
M20.4	M204	DEFAULT	3	Other hammer toe(s) (acquired)							
M20.5	M205	DEFAULT	3	Other deformities of toe(s) (acquired)							
M20.6	M206	DEFAULT	3	Acquired deformity of toe(s), unspecified							
M21	M21	DEFAULT	3	Other acquired deformities of limbs							
M21.0	M210	DEFAULT	3	Valgus deformity, not elsewhere classified							
M21.00	M2100	DEFAULT	3	Valgus deformity, not elsewhere classified		Multiple sites					
M21.01	M2101	DEFAULT	3	Valgus deformity, not elsewhere classified		Shoulder region					
M21.02	M2102	DEFAULT	3	Valgus deformity, not elsewhere classified		Upper arm					
M21.03	M2103	DEFAULT	3	Valgus deformity, not elsewhere classified		Forearm					
M21.04	M2104	DEFAULT	3	Valgus deformity, not elsewhere classified		Hand					
M21.05	M2105	DEFAULT	3	Valgus deformity, not elsewhere classified		Pelvic region and thigh					
M21.06	M2106	DEFAULT	3	Valgus deformity, not elsewhere classified		Lower leg					
M21.07	M2107	DEFAULT	3	Valgus deformity, not elsewhere classified		Ankle and foot					
M21.08	M2108	DEFAULT	3	Valgus deformity, not elsewhere classified		Other					
M21.09	M2109	DEFAULT	3	Valgus deformity, not elsewhere classified		Site unspecified					
M21.1	M211	DEFAULT	3	Varus deformity, not elsewhere classified							
M21.10	M2110	DEFAULT	3	Varus deformity, not elsewhere classified		Multiple sites					
M21.11	M2111	DEFAULT	3	Varus deformity, not elsewhere classified		Shoulder region					
M21.12	M2112	DEFAULT	3	Varus deformity, not elsewhere classified		Upper arm					
M21.13	M2113	DEFAULT	3	Varus deformity, not elsewhere classified		Forearm					
M21.14	M2114	DEFAULT	3	Varus deformity, not elsewhere classified		Hand					
M21.15	M2115	DEFAULT	3	Varus deformity, not elsewhere classified		Pelvic region and thigh					
M21.16	M2116	DEFAULT	3	Varus deformity, not elsewhere classified		Lower leg					
M21.17	M2117	DEFAULT	3	Varus deformity, not elsewhere classified		Ankle and foot					
M21.18	M2118	DEFAULT	3	Varus deformity, not elsewhere classified		Other					
M21.19	M2119	DEFAULT	3	Varus deformity, not elsewhere classified		Site unspecified					
M21.2	M212	DEFAULT	3	Flexion deformity							
M21.20	M2120	DEFAULT	3	Flexion deformity		Multiple sites					
M21.21	M2121	DEFAULT	3	Flexion deformity		Shoulder region					
M21.22	M2122	DEFAULT	3	Flexion deformity		Upper arm					
M21.23	M2123	DEFAULT	3	Flexion deformity		Forearm					
M21.24	M2124	DEFAULT	3	Flexion deformity		Hand					
M21.25	M2125	DEFAULT	3	Flexion deformity		Pelvic region and thigh					
M21.26	M2126	DEFAULT	3	Flexion deformity		Lower leg					
M21.27	M2127	DEFAULT	3	Flexion deformity		Ankle and foot					
M21.28	M2128	DEFAULT	3	Flexion deformity		Other					
M21.29	M2129	DEFAULT	3	Flexion deformity		Site unspecified					
M21.3	M213	DEFAULT	3	Wrist or foot drop (acquired)							
M21.30	M2130	DEFAULT	3	Wrist or foot drop (acquired)		Multiple sites					
M21.33	M2133	DEFAULT	3	Wrist or foot drop (acquired)		Forearm					
M21.34	M2134	DEFAULT	3	Wrist or foot drop (acquired)		Hand					
M21.37	M2137	DEFAULT	3	Wrist or foot drop (acquired)		Ankle and foot					
M21.4	M214	DEFAULT	3	Flat foot [pes planus] (acquired)							
M21.5	M215	DEFAULT	3	Acquired clawhand, clubhand, clawfoot and clubfoot							
M21.50	M2150	DEFAULT	3	Acquired clawhand, clubhand, clawfoot and clubfoot		Multiple sites					
M21.54	M2154	DEFAULT	3	Acquired clawhand, clubhand, clawfoot and clubfoot		Hand					
M21.57	M2157	DEFAULT	3	Acquired clawhand, clubhand, clawfoot and clubfoot		Ankle and foot					
M21.6	M216	DEFAULT	3	Other acquired deformities of ankle and foot							
M21.7	M217	DEFAULT	3	Unequal limb length (acquired)							
M21.70	M2170	DEFAULT	3	Unequal limb length (acquired)		Multiple sites					
M21.72	M2172	DEFAULT	3	Unequal limb length (acquired)		Upper arm					
M21.73	M2173	DEFAULT	3	Unequal limb length (acquired)		Forearm					
M21.74	M2174	DEFAULT	3	Unequal limb length (acquired)		Hand					
M21.75	M2175	DEFAULT	3	Unequal limb length (acquired)		Pelvic region and thigh					
M21.76	M2176	DEFAULT	3	Unequal limb length (acquired)		Lower leg					
M21.77	M2177	DEFAULT	3	Unequal limb length (acquired)		Ankle and foot					
M21.79	M2179	DEFAULT	3	Unequal limb length (acquired)		Site unspecified					
M21.8	M218	DEFAULT	3	Other specified acquired deformities of limbs							
M21.80	M2180	DEFAULT	3	Other specified acquired deformities of limbs		Multiple sites					
M21.81	M2181	DEFAULT	3	Other specified acquired deformities of limbs		Shoulder region					
M21.82	M2182	DEFAULT	3	Other specified acquired deformities of limbs		Upper arm					
M21.83	M2183	DEFAULT	3	Other specified acquired deformities of limbs		Forearm					
M21.84	M2184	DEFAULT	3	Other specified acquired deformities of limbs		Hand					
M21.85	M2185	DEFAULT	3	Other specified acquired deformities of limbs		Pelvic region and thigh					
M21.86	M2186	DEFAULT	3	Other specified acquired deformities of limbs		Lower leg					
M21.87	M2187	DEFAULT	3	Other specified acquired deformities of limbs		Ankle and foot					
M21.89	M2189	DEFAULT	3	Other specified acquired deformities of limbs		Site unspecified					
M21.9	M219	DEFAULT	3	Acquired deformity of limb, unspecified							
M21.90	M2190	DEFAULT	3	Acquired deformity of limb, unspecified		Multiple sites					
M21.91	M2191	DEFAULT	3	Acquired deformity of limb, unspecified		Shoulder region					
M21.92	M2192	DEFAULT	3	Acquired deformity of limb, unspecified		Upper arm					
M21.93	M2193	DEFAULT	3	Acquired deformity of limb, unspecified		Forearm					
M21.94	M2194	DEFAULT	3	Acquired deformity of limb, unspecified		Hand					
M21.95	M2195	DEFAULT	3	Acquired deformity of limb, unspecified		Pelvic region and thigh					
M21.96	M2196	DEFAULT	3	Acquired deformity of limb, unspecified		Lower leg					
